"asset_id","public_id","format","version","resource_type","type","created_at","bytes","width","height","backup","access_mode","url","secure_url"
"af9aa9f50f8c8bc643a2c3902dd8ca72","items/7501685170178","jpg",1447647411,"image","upload","2015-11-16T04:16:51+00:00",40815,300,300,,"public","http://res.cloudinary.com/prixz/image/upload/v1447647411/items/7501685170178.jpg","https://res.cloudinary.com/prixz/image/upload/v1447647411/items/7501685170178.jpg"
"e53109e4bd339448b8bc7bf769d60bc8","items/7501672690184","jpg",1447647410,"image","upload","2015-11-16T04:16:50+00:00",36830,240,240,,"public","http://res.cloudinary.com/prixz/image/upload/v1447647410/items/7501672690184.jpg","https://res.cloudinary.com/prixz/image/upload/v1447647410/items/7501672690184.jpg"
"08241c904fdf5689e207ac2edc359461","items/7501685170116","jpg",1447647408,"image","upload","2015-11-16T04:16:48+00:00",37896,300,300,,"public","http://res.cloudinary.com/prixz/image/upload/v1447647408/items/7501685170116.jpg","https://res.cloudinary.com/prixz/image/upload/v1447647408/items/7501685170116.jpg"
"d1b0210b2abf5948f1d2f848fd755a99","items/7501657900796","jpg",1447647406,"image","upload","2015-11-16T04:16:46+00:00",585582,300,300,,"public","http://res.cloudinary.com/prixz/image/upload/v1447647406/items/7501657900796.jpg","https://res.cloudinary.com/prixz/image/upload/v1447647406/items/7501657900796.jpg"
"c4f13c9d22bbbec1d0abaa4f6986e782","items/7501672690177","jpg",1447647406,"image","upload","2015-11-16T04:16:46+00:00",34679,240,240,,"public","http://res.cloudinary.com/prixz/image/upload/v1447647406/items/7501672690177.jpg","https://res.cloudinary.com/prixz/image/upload/v1447647406/items/7501672690177.jpg"
"80ce6c2b764b9241d5d2adcc4ac8b2ae","items/7501583300431","jpg",1447647405,"image","upload","2015-11-16T04:16:45+00:00",610882,300,300,,"public","http://res.cloudinary.com/prixz/image/upload/v1447647405/items/7501583300431.jpg","https://res.cloudinary.com/prixz/image/upload/v1447647405/items/7501583300431.jpg"
"4888d32072c8c1231b6a81f70308a75c","items/7501672690115","jpg",1447647404,"image","upload","2015-11-16T04:16:44+00:00",25328,240,240,,"public","http://res.cloudinary.com/prixz/image/upload/v1447647404/items/7501672690115.jpg","https://res.cloudinary.com/prixz/image/upload/v1447647404/items/7501672690115.jpg"
"af6cbe8bd3fea9b58971f0b9f0a27ff2","items/7501672690085","jpg",1447647402,"image","upload","2015-11-16T04:16:42+00:00",41757,240,240,,"public","http://res.cloudinary.com/prixz/image/upload/v1447647402/items/7501672690085.jpg","https://res.cloudinary.com/prixz/image/upload/v1447647402/items/7501672690085.jpg"
"5473c887d2c0d6cdac67a566830f3055","items/7501672690078","jpg",1447647399,"image","upload","2015-11-16T04:16:39+00:00",24142,240,240,,"public","http://res.cloudinary.com/prixz/image/upload/v1447647399/items/7501672690078.jpg","https://res.cloudinary.com/prixz/image/upload/v1447647399/items/7501672690078.jpg"
"8da5f0512f645001402c61a6b70daba0","items/7501672601111","jpg",1447647396,"image","upload","2015-11-16T04:16:36+00:00",27090,240,240,,"public","http://res.cloudinary.com/prixz/image/upload/v1447647396/items/7501672601111.jpg","https://res.cloudinary.com/prixz/image/upload/v1447647396/items/7501672601111.jpg"
"c15db3ac4b7ba8f3e7b9c4e30c1ea534","items/7501672600602","jpg",1447647394,"image","upload","2015-11-16T04:16:34+00:00",32504,240,240,,"public","http://res.cloudinary.com/prixz/image/upload/v1447647394/items/7501672600602.jpg","https://res.cloudinary.com/prixz/image/upload/v1447647394/items/7501672600602.jpg"
